time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-22T02:00:00.0000000Z,2021-01-22T03:00:00.0000000Z,2021-01-22T02:00:05.8860000Z,2021-01-22T02:59:48.7290000Z,0.9992,1.0004,0.9991,1.0004,1442255.35461312,1637
2021-01-22T03:00:00.0000000Z,2021-01-22T04:00:00.0000000Z,2021-01-22T03:00:00.3600000Z,2021-01-22T03:59:49.4810000Z,1.0003,1.0004,0.9995,1.0004,1276742.88094887,1461
2021-01-22T04:00:00.0000000Z,2021-01-22T05:00:00.0000000Z,2021-01-22T04:00:00.1140000Z,2021-01-22T04:59:47.6210000Z,1.0004,1.0009,0.9989,1.0005,1676776.00569649,1619
2021-01-22T05:00:00.0000000Z,2021-01-22T06:00:00.0000000Z,2021-01-22T05:00:06.5850000Z,2021-01-22T05:59:55.2650000Z,1.0004,1.0009,1.0003,1.0006,2111466.45061986,1754
2021-01-22T06:00:00.0000000Z,2021-01-22T07:00:00.0000000Z,2021-01-22T06:00:01.9900000Z,2021-01-22T06:59:58.7240000Z,1.0005,1.0021,0.9999,1.0006,2617084.66716426,2167
2021-01-22T07:00:00.0000000Z,2021-01-22T08:00:00.0000000Z,2021-01-22T07:00:00.9870000Z,2021-01-22T07:59:58.6520000Z,1.0006,1.0017,0.9994,0.9994,5150590.63171413,3871
2021-01-22T08:00:00.0000000Z,2021-01-22T09:00:00.0000000Z,2021-01-22T08:00:11.2290000Z,2021-01-22T08:59:57.2410000Z,0.9994,0.9997,0.9954,0.9997,3914432.27856389,2169
2021-01-22T09:00:00.0000000Z,2021-01-22T10:00:00.0000000Z,2021-01-22T09:00:00.1400000Z,2021-01-22T09:59:56.4720000Z,0.9997,1.0,0.9995,0.9996,3539376.83244618,2424
2021-01-22T10:00:00.0000000Z,2021-01-22T11:00:00.0000000Z,2021-01-22T10:00:08.6650000Z,2021-01-22T10:59:59.9690000Z,0.9997,1.0004,0.9995,1.0,3439887.23507931,2897
2021-01-22T11:00:00.0000000Z,2021-01-22T12:00:00.0000000Z,2021-01-22T11:00:00.7080000Z,2021-01-22T11:59:58.8730000Z,1.0,1.0009,0.9998,1.0008,6685261.56035241,4143
2021-01-22T12:00:00.0000000Z,2021-01-22T13:00:00.0000000Z,2021-01-22T12:00:00.4280000Z,2021-01-22T12:59:59.9730000Z,1.0008,1.001,1.0005,1.0007,4790662.02341846,3466
2021-01-22T13:00:00.0000000Z,2021-01-22T14:00:00.0000000Z,2021-01-22T13:00:00.1000000Z,2021-01-22T13:59:55.9490000Z,1.0006,1.0018,1.0003,1.0008,5035939.34773589,4023
2021-01-22T14:00:00.0000000Z,2021-01-22T15:00:00.0000000Z,2021-01-22T14:00:01.8480000Z,2021-01-22T14:59:59.9500000Z,1.0008,1.0016,1.0006,1.0015,8448885.72605952,5068
2021-01-22T15:00:00.0000000Z,2021-01-22T16:00:00.0000000Z,2021-01-22T15:00:00.5370000Z,2021-01-22T15:59:59.7430000Z,1.0015,1.0018,1.001,1.0013,7999339.84540733,5899
2021-01-22T16:00:00.0000000Z,2021-01-22T17:00:00.0000000Z,2021-01-22T16:00:00.3570000Z,2021-01-22T16:59:59.2730000Z,1.0013,1.0014,1.0009,1.0009,3344773.12799154,1872
2021-01-22T17:00:00.0000000Z,2021-01-22T18:00:00.0000000Z,2021-01-22T17:00:03.5070000Z,2021-01-22T17:59:46.1800000Z,1.0009,1.0014,1.0009,1.0011,1850571.0517616,994
2021-01-22T18:00:00.0000000Z,2021-01-22T19:00:00.0000000Z,2021-01-22T18:00:07.2440000Z,2021-01-22T18:59:57.9970000Z,1.0011,1.0017,1.0009,1.0015,2877490.14802223,1196
2021-01-22T19:00:00.0000000Z,2021-01-22T20:00:00.0000000Z,2021-01-22T19:00:13.7670000Z,2021-01-22T19:59:56.7410000Z,1.0014,1.0017,1.0012,1.0013,1311390.91239379,1185
2021-01-22T20:00:00.0000000Z,2021-01-22T21:00:00.0000000Z,2021-01-22T20:00:01.5990000Z,2021-01-22T20:58:57.0130000Z,1.0014,1.0015,1.0008,1.0008,2949280.62207509,1273
2021-01-22T21:00:00.0000000Z,2021-01-22T22:00:00.0000000Z,2021-01-22T21:00:17.4920000Z,2021-01-22T21:59:43.4260000Z,1.0008,1.0009,1.0004,1.0008,1349304.75846932,1146
2021-01-22T22:00:00.0000000Z,2021-01-22T23:00:00.0000000Z,2021-01-22T22:00:14.1000000Z,2021-01-22T22:59:55.6120000Z,1.0008,1.001,1.0005,1.0008,3691759.82848971,1511
2021-01-22T23:00:00.0000000Z,2021-01-23T00:00:00.0000000Z,2021-01-22T23:00:10.8370000Z,2021-01-22T23:59:37.3250000Z,1.0007,1.0012,1.0006,1.0007,1952833.62551615,1088
2021-01-23T00:00:00.0000000Z,2021-01-23T01:00:00.0000000Z,2021-01-23T00:00:07.8860000Z,2021-01-23T00:59:54.7510000Z,1.0008,1.001,1.0004,1.0008,3203337.39062518,1659
2021-01-23T01:00:00.0000000Z,2021-01-23T02:00:00.0000000Z,2021-01-23T01:00:16.2360000Z,2021-01-23T01:59:39.6400000Z,1.0007,1.0009,1.0004,1.0009,2480961.19561621,1213
2021-01-23T02:00:00.0000000Z,2021-01-23T03:00:00.0000000Z,2021-01-23T02:00:13.5890000Z,2021-01-23T02:59:53.0650000Z,1.0009,1.0011,1.0006,1.0006,1169274.97321328,897
2021-01-23T03:00:00.0000000Z,2021-01-23T04:00:00.0000000Z,2021-01-23T03:00:03.3190000Z,2021-01-23T03:59:34.1040000Z,1.0007,1.0011,1.0006,1.0008,1692103.75979364,1009
2021-01-23T04:00:00.0000000Z,2021-01-23T05:00:00.0000000Z,2021-01-23T04:00:01.5800000Z,2021-01-23T04:59:43.7880000Z,1.0009,1.001,1.0007,1.0009,673814.88588272,937
